entry_id,self_accession,parent_accession
32,JGAS00000000027,
33,JGAS00000000026,
37,JGAD00000000032,JGAP00000000001
37,JGAS00000000032,
40,JGAD00000000035,JGAP00000000001
40,JGAS00000000035,
41,JGAD00000000036,JGAP00000000001
41,JGAS00000000036,
42,JGAS00000000037,
43,JGAD00000000038,JGAP00000000001
43,JGAS00000000038,
44,JGAD00000000039,JGAP00000000005
44,JGAS00000000039,
45,JGAD00000000040,JGAP00000000001
45,JGAS00000000040,
46,JGAD00000000041,JGAP00000000001
46,JGAS00000000041,
47,JGAD00000000042,JGAP00000000003
47,JGAS00000000042,
48,JGAD00000000043,JGAP00000000003
48,JGAS00000000043,
49,JGAD00000000044,JGAP00000000003
49,JGAS00000000044,
50,JGAD00000000045,JGAP00000000003
50,JGAS00000000045,
51,JGAD00000000046,JGAP00000000001
51,JGAS00000000046,
52,JGAD00000000047,JGAP00000000001
52,JGAP00000000001,JGAC00000000001
52,JGAS00000000047,
53,JGAP00000000001,JGAC00000000001
54,JGAP00000000001,JGAC00000000001
55,JGAP00000000001,JGAC00000000001
56,JGAD00000000051,JGAP00000000001
56,JGAP00000000001,JGAC00000000001
56,JGAS00000000051,
57,JGAP00000000001,JGAC00000000001
58,JGAD00000000023,JGAP00000000004
58,JGAP00000000004,JGAC00000000001
58,JGAS00000000023,
59,JGAD00000000023,JGAP00000000004
59,JGAP00000000004,JGAC00000000001
59,JGAS00000000023,
60,JGAD00000000021,JGAP00000000001
60,JGAP00000000001,JGAC00000000001
60,JGAS00000000021,
61,JGAD00000000018,JGAP00000000001
61,JGAP00000000001,JGAC00000000001
61,JGAS00000000018,
62,JGAD00000000018,JGAP00000000001
62,JGAP00000000001,JGAC00000000001
62,JGAS00000000018,
63,JGAD00000000021,JGAP00000000001
63,JGAP00000000001,JGAC00000000001
63,JGAS00000000021,
64,JGAD00000000052,JGAP00000000001
64,JGAP00000000001,JGAC00000000001
64,JGAS00000000052,
65,JGAD00000000053,JGAP00000000001
65,JGAP00000000001,JGAC00000000001
65,JGAS00000000053,
66,JGAD00000000054,JGAP00000000001
66,JGAP00000000001,JGAC00000000001
66,JGAS00000000054,
67,JGAD00000000037,JGAP00000000001
67,JGAP00000000001,JGAC00000000001
67,JGAS00000000037,
68,JGAP00000000001,JGAC00000000001
69,JGAP00000000006,JGAC00000000001
70,JGAP00000000001,JGAC00000000001
71,JGAD00000000057,JGAP00000000001
71,JGAP00000000001,JGAC00000000001
71,JGAS00000000057,
72,JGAP00000000006,JGAC00000000001
73,JGAP00000000006,JGAC00000000001
74,JGAD00000000059,JGAP00000000001
74,JGAP00000000001,JGAC00000000001
74,JGAS00000000059,
75,JGAD00000000060,JGAP00000000001
75,JGAP00000000001,JGAC00000000001
75,JGAS00000000060,
76,JGAD00000000062,JGAP00000000004
76,JGAP00000000004,JGAC00000000001
76,JGAS00000000062,
77,JGAP00000000001,JGAC00000000001
78,JGAD00000000061,JGAP00000000001
78,JGAP00000000001,JGAC00000000001
78,JGAS00000000061,
79,JGAS00000000040,
80,JGAS00000000040,
81,JGAD00000000040,JGAP00000000001
81,JGAP00000000001,JGAC00000000001
81,JGAS00000000040,
82,JGAD00000000064,JGAP00000000001
82,JGAP00000000001,JGAC00000000001
82,JGAS00000000064,
83,JGAD00000000065,JGAP00000000001
83,JGAP00000000001,JGAC00000000001
83,JGAS00000000065,
84,JGAP00000000006,JGAC00000000001
85,JGAP00000000001,JGAC00000000001
86,JGAP00000000001,JGAC00000000001
87,JGAP00000000001,JGAC00000000001
88,JGAD00000000004,JGAP00000000004
88,JGAP00000000001,JGAC00000000001
88,JGAP00000000004,JGAC00000000001
88,JGAS00000000004,
89,JGAD00000000017,JGAP00000000004
89,JGAP00000000001,JGAC00000000001
89,JGAP00000000004,JGAC00000000001
89,JGAS00000000017,
90,JGAD00000000022,JGAP00000000004
90,JGAP00000000001,JGAC00000000001
90,JGAP00000000004,JGAC00000000001
90,JGAS00000000022,
91,JGAD00000000037,JGAP00000000004
91,JGAP00000000001,JGAC00000000001
91,JGAP00000000004,JGAC00000000001
91,JGAS00000000037,
92,JGAD00000000036,JGAP00000000004
92,JGAP00000000001,JGAC00000000001
92,JGAP00000000004,JGAC00000000001
92,JGAS00000000036,
93,JGAD00000000047,JGAP00000000004
93,JGAP00000000001,JGAC00000000001
93,JGAP00000000004,JGAC00000000001
93,JGAS00000000047,
94,JGAD00000000038,JGAP00000000001
94,JGAP00000000001,JGAC00000000001
94,JGAS00000000038,
95,JGAD00000000001,JGAP00000000002
95,JGAP00000000001,JGAC00000000001
95,JGAP00000000002,JGAC00000000001
95,JGAS00000000001,
96,JGAD00000000024,JGAP00000000003
96,JGAP00000000001,JGAC00000000001
96,JGAP00000000003,JGAC00000000001
96,JGAS00000000024,
97,JGAD00000000040,JGAP00000000003
97,JGAP00000000001,JGAC00000000001
97,JGAP00000000003,JGAC00000000001
97,JGAS00000000040,
98,JGAD00000000052,JGAP00000000004
98,JGAP00000000001,JGAC00000000001
98,JGAP00000000004,JGAC00000000001
98,JGAS00000000052,
99,JGAP00000000001,JGAC00000000001
99,JGAP00000000003,JGAC00000000001
100,JGAP00000000001,JGAC00000000001
100,JGAP00000000004,JGAC00000000001
101,JGAD00000000070,JGAP00000000001
101,JGAP00000000001,JGAC00000000001
101,JGAS00000000070,
102,JGAP00000000001,JGAC00000000001
103,JGAP00000000001,JGAC00000000001
104,JGAD00000000073,JGAP00000000001
104,JGAP00000000001,JGAC00000000001
104,JGAS00000000073,
105,JGAP00000000001,JGAC00000000001
106,JGAD00000000075,JGAP00000000004
106,JGAP00000000004,JGAC00000000001
106,JGAS00000000075,
107,JGAD00000000076,JGAP00000000004
107,JGAP00000000004,JGAC00000000001
107,JGAS00000000076,
108,JGAD00000000077,JGAP00000000001
108,JGAP00000000001,JGAC00000000001
108,JGAS00000000077,
109,JGAS00000000076,
110,JGAD00000000064,JGAP00000000001
110,JGAP00000000001,JGAC00000000001
110,JGAS00000000064,
111,JGAD00000000064,JGAP00000000001
111,JGAP00000000001,JGAC00000000001
111,JGAS00000000064,
112,JGAS00000000039,
113,JGAD00000000076,JGAP00000000004
113,JGAP00000000004,JGAC00000000001
113,JGAS00000000076,
114,JGAD00000000039,JGAP00000000005
114,JGAP00000000005,JGAC00000000001
