entry_id,self_accession,parent_accession
737,JGAZ000000119,JGAS000041
737,JGAZ000000120,JGAS000041
742,JGAZ000000183,JGAS000064
745,JGAZ000000124,JGAS000045
749,JGAZ000000121,JGAS000042
751,JGAZ000000035,JGAS000013
751,JGAZ000000036,JGAS000013
751,JGAZ000000037,JGAS000013
751,JGAZ000000038,JGAS000013
751,JGAZ000000039,JGAS000013
751,JGAZ000000040,JGAS000013
751,JGAZ000000041,JGAS000013
751,JGAZ000000042,JGAS000013
751,JGAZ000000043,JGAS000013
751,JGAZ000000044,JGAS000013
751,JGAZ000000045,JGAS000013
754,JGAZ000000133,JGAS000051
754,JGAZ000000134,JGAS000051
754,JGAZ000000135,JGAS000051
754,JGAZ000000136,JGAS000051
755,JGAZ000000344,JGAS000059
757,JGAZ000000093,JGAS000024
759,JGAZ000000096,JGAS000028
763,JGAZ000000257,JGAS000046
764,JGAZ000000123,JGAS000044
769,JGAZ000000254,JGAS000078
770,JGAZ000000255,JGAS000079
771,JGAZ000000282,JGAS000081
772,JGAZ000000342,JGAS000085
773,JGAZ000000283,JGAS000082
777,JGAZ000000256,JGAS000080
785,JGAZ000000413,JGAS000111
785,JGAZ000000414,JGAS000111
786,JGAZ000000351,JGAS000103
790,JGAZ000002029,JGAS000130
796,JGAZ000001908,JGAS000125
796,JGAZ000001909,JGAS000125
796,JGAZ000001910,JGAS000125
796,JGAZ000001911,JGAS000125
796,JGAZ000001912,JGAS000125
796,JGAZ000001913,JGAS000125
796,JGAZ000001914,JGAS000125
796,JGAZ000001915,JGAS000125
796,JGAZ000001916,JGAS000125
796,JGAZ000001917,JGAS000125
796,JGAZ000001918,JGAS000125
796,JGAZ000001919,JGAS000125
796,JGAZ000001920,JGAS000125
796,JGAZ000001921,JGAS000125
796,JGAZ000001922,JGAS000125
796,JGAZ000001923,JGAS000125
796,JGAZ000001924,JGAS000125
796,JGAZ000001925,JGAS000125
796,JGAZ000001926,JGAS000125
796,JGAZ000001927,JGAS000125
796,JGAZ000001928,JGAS000125
796,JGAZ000001929,JGAS000125
796,JGAZ000001930,JGAS000125
796,JGAZ000001931,JGAS000125
796,JGAZ000001932,JGAS000125
796,JGAZ000001933,JGAS000125
796,JGAZ000001934,JGAS000125
796,JGAZ000001935,JGAS000125
796,JGAZ000001936,JGAS000125
796,JGAZ000001937,JGAS000125
796,JGAZ000001938,JGAS000125
796,JGAZ000001939,JGAS000125
796,JGAZ000001940,JGAS000125
796,JGAZ000001941,JGAS000125
796,JGAZ000001942,JGAS000125
796,JGAZ000001943,JGAS000125
796,JGAZ000001944,JGAS000125
796,JGAZ000001945,JGAS000125
796,JGAZ000001946,JGAS000125
796,JGAZ000001947,JGAS000125
796,JGAZ000001948,JGAS000125
796,JGAZ000001949,JGAS000125
796,JGAZ000001950,JGAS000125
